Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode
ESC_AA1399AA	IMT2297	traces-0rFThlM;7GeneMLST;ND;;NA		Poultry	Chicken	1999				Europe	Germany							L.Wieler, C.Ewers		O2:K1	O2:K1:H5		Pathogen	APEC	Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1399AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1399AA_AS
ESC_AA1400AA	IMT12041	traces-0eAHBzm;7GeneMLST;ND;;NA		Poultry	Chicken	2006				Europe	Germany							IMT FU-Berlin		O1:K1:H7/-	O1:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1400AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1400AA_AS
ESC_AA1401AA	ISUAPEC130	traces-0HCUCuY;7GeneMLST;ND;;NA			Avian					North America	U.S.A.							Nolan			O2	D	Pathogen		None		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1401AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1401AA_AS
ESC_AA1402AA	IMT9280	traces-0TcGhIJ;7GeneMLST;ND;;NA		Human	Human	2004				Europe	Germany							L.Wieler, C.Ewers			O78:NM		Pathogen	UPEC	UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1402AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1402AA_AS
ESC_AA1403AA	A104	traces-0nQHlvu;7GeneMLST;ND;;NA		Human	Human	1977				Europe	Finland							M. Achtman		O18:K1:H7/-	O18:K1		Pathogen		UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1403AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1403AA_AS
ESC_AA1404AA	IMT2108	traces-0KfhdhL;7GeneMLST;ND;;NA		Poultry	Chicken	1997				Europe	Germany							IMT FU-Berlin		K1	K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1404AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1404AA_AS
ESC_AA1405AA	ISUNMEC36	traces-0kVbKeY;7GeneMLST;ND;;NA		Human	Human					Europe	Netherlands							Spanjaard			O14	B2	Pathogen		None		NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA1405AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1405AA_AS
ESC_AA1406AA	IMT14942	traces-0DAeJBj;7GeneMLST;ND;;NA		Bird	Turkey	2008				Europe	Germany							IMT FU-Berlin		O1:K1:H7/-	O1:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1406AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1406AA_AS
ESC_AA1407AA	ISUNMEC70	traces-0uZttDv;7GeneMLST;ND;;NA		Human	Human					North America	Netherlands							Nolan			n.t.	B2	Pathogen		None		NA	NA	Meningitis	NA	NA	2015-08-26	2015-08-26	ESC_AA1407AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1407AA_AS
ESC_AA1408AA	IMT2537	traces-0VMRpue;7GeneMLST;ND;;NA		Poultry	Chicken	2000				Europe	Germany							IMT FU-Berlin		O18:K1:H7/-	O18:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1408AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1408AA_AS
ESC_AA1409AA	ISUUPEC12	traces-0DKqbnP;7GeneMLST;ND;;NA		Human	Human					North America	U.S.A.							Nolan			O4	B2	Pathogen		None		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1409AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1409AA_AS
ESC_AA1410AA	IMT21094	traces-0kUoFAS;7GeneMLST;ND;;NA		Poultry	Chicken	2010				Europe	Germany							IMT FU-Berlin		O18:K1:H7/-	O18:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1410AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1410AA_AS
ESC_AA1411AA	ISUUPEC136	traces-0iSwgbN;7GeneMLST;ND;;NA		Human	Human					North America	U.S.A.							Nolan				B2	Pathogen		None		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1411AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1411AA_AS
ESC_AA1412AA	IMT2271	traces-0uYLRWk;7GeneMLST;ND;;NA		Poultry	Chicken	1999				Europe	Germany							IMT FU-Berlin		O18:K1:H7/-	O18:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1412AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1412AA_AS
ESC_AA1413AA	Delta 34	traces-0FFqDsd;7GeneMLST;ND;;NA		Human	Human	2005				Europe	Germany			Wurzburg				Institute for  Hygiene and Microbiology, Wuerzburg		K1	K1		Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1413AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1413AA_AS
ESC_AA1414AA	IMT2103	traces-0feRcwH;7GeneMLST;ND;;NA		Poultry	Chicken	1997				Europe	Germany							IMT FU-Berlin		K1	O147:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1414AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1414AA_AS
ESC_AA1415AA	K369/98	traces-0yiLXLU;7GeneMLST;ND;;NA		Domesticated animal	Poultry	1998				Europe	Germany			Potsdam				L.Wieler, C.Ewers		O78:K80	O78:H9		Pathogen	APEC	None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1415AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1415AA_AS
ESC_AA1416AA	PC 010311-03A	traces-0SYnwFm;7GeneMLST;ND;;NA		Water/River	Water	2011				Europe	France			Besancon				Pascal Cholley, CHU Besancon							None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1416AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1416AA_AS
ESC_AA1417AA	BK5627/Delta 39	traces-0uFDbho;7GeneMLST;ND;;NA		Human	Human	2005				Europe	Germany			Wurzburg				Institute for  Hygiene and Microbiology, Wuerzburg		K1	K1		Pathogen		Invasive		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1417AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1417AA_AS
ESC_AA1418AA	IMT6101	traces-0EysbVg;7GeneMLST;ND;;NA		Poultry	Goose	2002				Europe	Germany							IMT FU-Berlin		K1	On.t.:K1:NM		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1418AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1418AA_AS
ESC_AA1419AA	BK3887/Delta 27	traces-0pnrfXc;7GeneMLST;ND;;NA		Human	Human	2005				Europe	Germany			Wurzburg				Institute for  Hygiene and Microbiology, Wuerzburg		K1	K1		Pathogen		Invasive		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1419AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1419AA_AS
ESC_AA1420AA	IMT16083	traces-0qLXMLm;7GeneMLST;ND;;NA		Bird	Duck	2008				Europe	Germany							IMT FU-Berlin		K1	On.t.:K1:H:7		Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1420AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1420AA_AS
ESC_AA1421AA	IMT8899	traces-0jqOHfQ;7GeneMLST;ND;;NA		Captive Bird	Ostrich	2003				Europe	Netherlands			The Hague				L.Wieler, C.Ewers			O1:K1		Pathogen	APEC	Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1421AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1421AA_AS
ESC_AA1422AA	IMT5211	traces-0JCIIxr;7GeneMLST;ND;;NA		Poultry	Chicken	2001				Europe	Germany							IMT FU-Berlin		O18:K1:H7/-	O18:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1422AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1422AA_AS
ESC_AA1423AA	UR3236/Delta 11	traces-0upIkVU;7GeneMLST;ND;;NA		Human	Human	2005				Europe	Germany			Wurzburg				Institute for  Hygiene and Microbiology, Wuerzburg		K1	K1		Pathogen		UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1423AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1423AA_AS
ESC_AA1424AA	JVEC48	traces-0Cpzulj;7GeneMLST;ND;;NA		Human	Human	2000				East Asia	Japan			Tsukuba				W. Ba-Thein			O1:K1:H7	B2	Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1424AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1424AA_AS
ESC_AA1425AA	Delta 9	traces-0HnaLBy;7GeneMLST;ND;;NA		Human	Human	2005				Europe	Germany			Wurzburg				Institute for  Hygiene and Microbiology, Wuerzburg		K1	K1		Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1425AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1425AA_AS
ESC_AA1426AA	IMT20717	traces-0xMkrbj;7GeneMLST;ND;;NA		Wild Animal	Rat	2009				Europe	Germany							IMT FU-Berlin		O18:K1:H7/-	O18:K1:NM		Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1426AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1426AA_AS
ESC_AA1427AA	TK3	traces-0KiAdrs;7GeneMLST;ND;;NA		Domesticated animal	Turkey	1993				North America	Canada			Montreal, QC				L.Wieler, C.Ewers		O1	O1		Pathogen		Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1427AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1427AA_AS
ESC_AA1428AA	IMT_2099	traces-0ZgaMLT;7GeneMLST;ND;;NA		Poultry	Chicken	1997				Europe	Germany			Rotenburg/Wuemme				L.Wieler, C.Ewers			O18:H7		Pathogen	APEC	Invasive		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1428AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1428AA_AS
ESC_AA1429AA	A1380	traces-0kQhCsS;7GeneMLST;ND;;NA		Human	Human					Europe	Sweden							M. Achtman		K1	O2:H4:K1		Pathogen		UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1429AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1429AA_AS
ESC_AA1430AA	IMT5214	traces-0vjXuGY;7GeneMLST;ND;;NA		Poultry	Chicken	2001				Europe	Germany							IMT FU-Berlin		O1:K1:H7/-	O1:K1:NM		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1430AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1430AA_AS
ESC_AA1431AA	IMT2532	traces-0actUDw;7GeneMLST;ND;;NA		Poultry	Chicken	2000				Europe	Germany							L.Wieler, C.Ewers			O18:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1431AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1431AA_AS
ESC_AA1432AA	E457	traces-0PbYVJf;7GeneMLST;ND;;NA		Human		2002				Europe	Germany			Cologne				G. Plum							None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1432AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1432AA_AS
ESC_AA1433AA	UR784/Delta 37	traces-0gWftse;7GeneMLST;ND;;NA		Human	Human	2005				Europe	Germany			Wurzburg				Institute for  Hygiene and Microbiology, Wuerzburg		K1	K1		Pathogen		UTI		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1433AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1433AA_AS
ESC_AA1434AA	IMT2272	traces-0cMqWJc;7GeneMLST;ND;;NA		Poultry	Chicken	1999				Europe	Germany							IMT FU-Berlin		O2:K1	O2:K1:Hn.t.		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1434AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1434AA_AS
ESC_AA1435AA	IMT9232	traces-0xPIEwG;7GeneMLST;ND;;NA		Poultry	Chicken	2004				Europe	Germany							L.Wieler, C.Ewers			O1:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1435AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1435AA_AS
ESC_AA1436AA	IMT21084	traces-0skbKRr;7GeneMLST;ND;;NA		Poultry	Chicken	2010				Europe	Germany							IMT FU-Berlin		O2:K1	O2:K1:H4		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1436AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1436AA_AS
ESC_AA1437AA	BK5004/Delta 29	traces-0PXpijV;7GeneMLST;ND;;NA		Human	Human	2005				Europe	Germany			Wurzburg				Institute for  Hygiene and Microbiology, Wuerzburg		K1	K1		Pathogen		Invasive		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1437AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1437AA_AS
ESC_AA1438AA	IMT21097	traces-0QOgWhn;7GeneMLST;ND;;NA		Poultry	Chicken	2010				Europe	Germany							IMT FU-Berlin		O18:K1:H7/-	O18:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1438AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1438AA_AS
ESC_AA1439AA	RS228	traces-0IzJamF;7GeneMLST;ND;;NA		Human	Human	1978				North America	U.S.A.			New York				R. Silver		O18:K1:H7/-	O18:H-:K1		Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1439AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1439AA_AS
ESC_AA1441AA	A54	traces-0RRhXcG;7GeneMLST;ND;;NA		Human	Human	1976				Europe	Finland			Helsinki				J. Hacker		O18:K1:H7/-	O18:K1		Pathogen		Invasive		NA	NA	NBM	NA	NA	2015-08-26	2015-08-26	ESC_AA1441AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1441AA_AS
ESC_AA1442AA	IMT15146	traces-0UpWGsX;7GeneMLST;ND;;NA		Poultry	Chicken	2008				Europe	Germany							IMT FU-Berlin		O1:K1:H7/-	O1:K1:H7		Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1442AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1442AA_AS
ESC_AA1443AA	A1110	traces-0hvJUlI;7GeneMLST;ND;;NA		Domesticated animal	Poultry					Europe	United Kingdom							M. Achtman		K1	O2:H7:K1		Pathogen		Invasive		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1443AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1443AA_AS
ESC_AA1444AA	K1242/97	traces-0TJicZQ;7GeneMLST;ND;;NA		Poultry	Chicken	1997				Europe	Germany			Potsdam				L.Wieler, C.Ewers		O1:K1:H7/-	O1:K1		Pathogen	APEC	Invasive		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1444AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1444AA_AS
ESC_AA1445AA	IMT2251	traces-0cwhogb;7GeneMLST;ND;;NA		Domesticated animal	Poultry	1999				Europe	Germany							L.Wieler, C.Ewers			K1:H7		Pathogen	APEC	Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1445AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1445AA_AS
ESC_AA1446AA	Ecoli-CHU-41	traces-0ImOlJJ;7GeneMLST;ND;;NA		Human	Human	2011				Europe	France			Besancon				CHU J.Minjoz Besancon					nonpathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1446AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1446AA_AS
ESC_AA1447AA	Delta 1	traces-0oXkVWa;7GeneMLST;ND;;NA		Human	Human	2005				Europe	Germany			Wurzburg				Institute for  Hygiene and Microbiology, Wuerzburg		K1	K1		Non pathogen		None		NA	NA	None	NA	NA	2015-08-26	2015-08-26	ESC_AA1447AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1447AA_AS
ESC_AA1448AA	IMT21071	traces-0jAuaMm;7GeneMLST;ND;;NA		Poultry	Chicken	2010				Europe	France							IMT FU-Berlin		O2:K1	O2:K1:H4		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1448AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1448AA_AS
ESC_AA1449AA	MT78	traces-0POHcAd;7GeneMLST;ND;;NA		Poultry	Chicken	1993				Europe	France							L.Wieler, C.Ewers		O2	O2:K1:H+		Pathogen		Septicemia		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1449AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1449AA_AS
ESC_AA1450AA	GR20	traces-0NnmVYO;7GeneMLST;ND;;NA		Human	Human	2008				South America	Brazil			Salvador				FIOCRUZ					Pathogen	UPEC	None		NA	NA	UTI	NA	NA	2015-08-26	2015-08-26	ESC_AA1450AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1450AA_AS
ESC_AA1451AA	A1108	traces-0IsiwXO;7GeneMLST;ND;;NA		Domesticated animal	Poultry					Europe	United Kingdom							M. Achtman		K1	O2:H4:K1		Pathogen		Invasive		NA	NA	Septicemia	NA	NA	2015-08-26	2015-08-26	ESC_AA1451AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1451AA_AS
ESC_AA1452AA	IMT12517	traces-0yqXDGO;7GeneMLST;ND;;NA		Poultry	Chicken	2007				Europe	Germany							IMT FU-Berlin		O1:K1:H7/-	O1:K1:H7		Pathogen	APEC	Septicemia		NA	NA	Colibacillosis	NA	NA	2015-08-26	2015-08-26	ESC_AA1452AA	legacy	NaN	NaN	NaN		NaN	NaN	NaN	ESC_AA1452AA_AS
