"","name","SEQUENCE","same_scaff"
"44","ESC_AA9421AA_AS","NODE_12_length_135380_cov_5.17215_ID_23","vfdb_fdeC vfdb_ykgK/ecpR vfdb_yagZ/ecpA vfdb_yagY/ecpB vfdb_yagX/ecpC vfdb_yagW/ecpD vfdb_yagV/ecpE vfdb_vat"
"45","ESC_AA9421AA_AS","NODE_13_length_129686_cov_5.77385_ID_25","card_cpxA"
"46","ESC_AA9421AA_AS","NODE_16_length_99959_cov_4.10672_ID_31","vfdb_entA vfdb_entB vfdb_entE vfdb_entC vfdb_fepB vfdb_entS vfdb_fepD vfdb_fepG vfdb_fepC vfdb_entF vfdb_fes vfdb_fepA vfdb_entD"
"47","ESC_AA9421AA_AS","NODE_17_length_85011_cov_10.0163_ID_33","EC_custom_iss_type1_pAPEC-O2-ColV EC_custom_cvaA_AY545598.5 EC_custom_cvaB_AY545598.5 EC_custom_cvaC_X57525.1 EC_custom_cvi_AY545598.5 plasmidfinder_IncB/O/K/Z_2 vfdb_iroB vfdb_iroC vfdb_iroD vfdb_iroE vfdb_iroN"
"48","ESC_AA9421AA_AS","NODE_18_length_84980_cov_3.95327_ID_35","card_H-NS EC_custom_sitA_(gi:91210366)|VFG012573"
"49","ESC_AA9421AA_AS","NODE_2_length_504965_cov_5.72313_ID_3","card_CRP card_mdtE card_mdtF card_gadW card_gadX EC_custom_gimB-marker_CP002167.1 EC_custom_VGI-1_tRNA_modification_GTPase_TrmE vfdb_chuS vfdb_chuA vfdb_chuT vfdb_chuW vfdb_chuX vfdb_chuY vfdb_chuU vfdb_chuV"
"50","ESC_AA9421AA_AS","NODE_20_length_78661_cov_5.9977_ID_39","vfdb_aslA"
"51","ESC_AA9421AA_AS","NODE_23_length_51092_cov_6.50544_ID_45","EC_custom_traT_CP018978.1"
"52","ESC_AA9421AA_AS","NODE_25_length_48349_cov_3.49412_ID_49","EC_custom_fyuA_Z35106.1 EC_custom_irp2_(gi:117624162)|VFG012550 vfdb_fyuA vfdb_ybtE vfdb_ybtT vfdb_ybtU vfdb_irp1 vfdb_irp2 vfdb_ybtA vfdb_ybtP vfdb_ybtQ vfdb_ybtX vfdb_ybtS"
"53","ESC_AA9421AA_AS","NODE_3_length_501756_cov_4.08265_ID_5","card_evgS card_evgA card_emrK card_emrY card_pmrF card_yojI card_baeR card_baeS card_mdtC card_mdtB card_mdtA EC_custom_yeeT_|VFG1529 ISfinder_Feb_2020_ISEc1:L02370"
"54","ESC_AA9421AA_AS","NODE_32_length_29559_cov_5.29296_ID_63","card_Escherichia_coli_ampC"
"55","ESC_AA9421AA_AS","NODE_33_length_24409_cov_6.66175_ID_65","ISfinder_Feb_2020_IS1203:U06468"
"56","ESC_AA9421AA_AS","NODE_34_length_22825_cov_9.39162_ID_67","EC_custom_hylF_CP000836.1 EC_custom_ompT_HM210637.1 EC_custom_etsA_KU578032 ISfinder_Feb_2020_IS629:X51586 plasmidfinder_IncFIB(AP001918)_1"
"57","ESC_AA9421AA_AS","NODE_35_length_19610_cov_6.28424_ID_69","EC_custom_tia_CU928161 EC_custom_papGII_DQ095216.1 EC_custom_papF_CU928161 EC_custom_papE_CU928161 EC_custom_papK_CU928161 EC_custom_papJ_CU928161 EC_custom_papD_CU928161 EC_custom_papC_CU928161 EC_custom_papH_CU928161 EC_custom_papA_CU928161 EC_custom_papB_CU928161 EC_custom_papI_DQ095216.1 vfdb_papG vfdb_papF vfdb_papE vfdb_papK vfdb_papJ vfdb_papD vfdb_papC vfdb_papH vfdb_papB vfdb_papI"
"58","ESC_AA9421AA_AS","NODE_36_length_14916_cov_7.40216_ID_71","EC_custom_iutA_KU578032.1 EC_custom_iucD_AY545598.5 vfdb_iucD vfdb_iucC vfdb_iucB vfdb_iucA"
"59","ESC_AA9421AA_AS","NODE_37_length_13503_cov_4.78841_ID_73","ISfinder_Feb_2020_ISEc45:NC_004431 ISfinder_Feb_2020_ISEc38:AJ303141 ISfinder_Feb_2020_ISEc20:NZ_AAJU01000001"
"60","ESC_AA9421AA_AS","NODE_4_length_418743_cov_3.65211_ID_7","card_marA card_Escherichia_coli_emrE"
"61","ESC_AA9421AA_AS","NODE_40_length_7832_cov_7.08954_ID_79","ISfinder_Feb_2020_ISEc30:NC_011603"
"62","ESC_AA9421AA_AS","NODE_42_length_7505_cov_8.43966_ID_83","ISfinder_Feb_2020_ISEc32:NC_011747"
"63","ESC_AA9421AA_AS","NODE_48_length_5245_cov_92.3976_ID_95","plasmidfinder_Col156_1"
"64","ESC_AA9421AA_AS","NODE_5_length_360178_cov_5.28895_ID_9","card_tolC card_bacA card_acrS card_acrE card_acrF EC_custom_yeeT_|VFG1529 EC_custom_neuC_CP007275.1 EC_custom_kpsMT(II)_K2:CP000468.1:|APEC-O1|3376659-3378102 vfdb_kpsD vfdb_kpsT vfdb_kpsM vfdb_gspM vfdb_gspL vfdb_gspK vfdb_gspJ vfdb_gspI vfdb_gspH vfdb_gspG vfdb_gspF vfdb_gspE vfdb_gspD vfdb_gspC"
"65","ESC_AA9421AA_AS","NODE_6_length_348608_cov_4.65523_ID_11","card_emrB card_emrA card_emrR EC_custom_malX_AF081286.1:c2588-1008 ISfinder_Feb_2020_MITEEc1:U00096"
"66","ESC_AA9421AA_AS","NODE_61_length_2124_cov_6.98727_ID_121","vfdb_papX"
"67","ESC_AA9421AA_AS","NODE_7_length_212779_cov_4.87485_ID_13","EC_custom_usp_AB056439 ISfinder_Feb_2020_IS200C:NC_004431"
"68","ESC_AA9421AA_AS","NODE_8_length_194276_cov_4.98758_ID_15","card_acrD ISfinder_Feb_2020_IS1397:X92970 ISfinder_Feb_2020_IS621:NC_009800"
"69","ESC_AA9421AA_AS","NODE_80_length_919_cov_8.57995_ID_159","EC_custom_yeeT_|VFG1529"
"70","ESC_AA9421AA_AS","NODE_9_length_175280_cov_5.3582_ID_17","card_eptA card_mdtN card_mdtO card_mdtP"
"71","ESC_BA0967AA_AS","NODE_1_length_768587_cov_12.6996_ID_1","card_CRP card_mdtE card_mdtF card_gadW card_gadX card_marA card_Escherichia_coli_emrE EC_custom_gimB-marker_CP002167.1 EC_custom_irp2_(gi:386629711)|VFG034099 EC_custom_fyuA_Z35106.1 vfdb_chuS vfdb_chuA vfdb_chuT vfdb_chuW vfdb_chuX vfdb_chuY vfdb_chuU vfdb_chuV vfdb_tcpC vfdb_ybtS vfdb_ybtX vfdb_ybtQ vfdb_ybtP vfdb_ybtA vfdb_irp2 vfdb_irp1 vfdb_ybtU vfdb_ybtT vfdb_ybtE vfdb_fyuA"
"72","ESC_BA0967AA_AS","NODE_10_length_129232_cov_12.0963_ID_19","card_cpxA"
"73","ESC_BA0967AA_AS","NODE_11_length_113556_cov_11.9809_ID_21","vfdb_aslA"
"74","ESC_BA0967AA_AS","NODE_12_length_111239_cov_13.1601_ID_23","card_H-NS EC_custom_sitA_(gi:91210366)|VFG012573"
"75","ESC_BA0967AA_AS","NODE_14_length_89309_cov_13.6178_ID_27","vfdb_fdeC vfdb_ykgK/ecpR vfdb_yagZ/ecpA vfdb_yagY/ecpB vfdb_yagX/ecpC vfdb_yagW/ecpD vfdb_yagV/ecpE"
"76","ESC_BA0967AA_AS","NODE_16_length_51239_cov_15.6835_ID_31","ISfinder_Feb_2020_ISEc30:NC_011603"
"77","ESC_BA0967AA_AS","NODE_18_length_44625_cov_16.9182_ID_35","EC_custom_papI_DQ095216.1 EC_custom_papB_CU928161 EC_custom_papA_CU928161 EC_custom_papH_CU928161 EC_custom_papC_CU928161 EC_custom_papD_CU928161 EC_custom_papJ_CU928161 EC_custom_papK_CU928161 EC_custom_papE_CU928161 EC_custom_papF_CU928161 EC_custom_papGII_DQ095216.1 EC_custom_tia_CU928161 ISfinder_Feb_2020_IS1203:U06468 ISfinder_Feb_2020_ISEc48:ADUS01000070 vfdb_papI vfdb_papB vfdb_papH vfdb_papC vfdb_papD vfdb_papJ vfdb_papK vfdb_papE vfdb_papF vfdb_papG"
"78","ESC_BA0967AA_AS","NODE_2_length_761367_cov_11.4873_ID_3","card_Escherichia_coli_ampH card_acrB card_Escherichia_coli_acrA card_kdpE card_Escherichia_coli_mdfA card_msbA card_mdtG card_mdtH ISfinder_Feb_2020_MITEEc1:U00096 vfdb_entD vfdb_fepA vfdb_fes vfdb_entF vfdb_fepC vfdb_fepG vfdb_fepD vfdb_entS vfdb_fepB vfdb_entC vfdb_entE vfdb_entB vfdb_entA vfdb_ompA"
"79","ESC_BA0967AA_AS","NODE_21_length_32784_cov_11.1764_ID_41","ISfinder_Feb_2020_IS21:X14793 plasmidfinder_Col156_1 vfdb_senB"
"80","ESC_BA0967AA_AS","NODE_25_length_29569_cov_11.8141_ID_49","card_Escherichia_coli_ampC"
"81","ESC_BA0967AA_AS","NODE_26_length_24716_cov_12.5481_ID_51","ISfinder_Feb_2020_ISEc20:NZ_AAJU01000001 ISfinder_Feb_2020_IS100kyp:U59875"
"82","ESC_BA0967AA_AS","NODE_28_length_13327_cov_7.53142_ID_55","ISfinder_Feb_2020_ISKpn26:NC_016845"
"83","ESC_BA0967AA_AS","NODE_29_length_13204_cov_16.6853_ID_57","EC_custom_iss_type1_pAPEC-O2-ColV"
"84","ESC_BA0967AA_AS","NODE_3_length_612440_cov_11.3783_ID_5","card_ugd card_mdtA card_mdtB card_mdtC card_baeS card_baeR card_yojI card_pmrF card_emrY card_emrK card_evgA card_evgS card_acrD ISfinder_Feb_2020_IS621:NC_009800 ISfinder_Feb_2020_IS1397:X92970"
"85","ESC_BA0967AA_AS","NODE_30_length_11896_cov_9.72737_ID_59","EC_custom_traT_CP018978.1"
"86","ESC_BA0967AA_AS","NODE_31_length_10252_cov_7.11527_ID_61","plasmidfinder_IncFIC(FII)_1"
"87","ESC_BA0967AA_AS","NODE_33_length_8722_cov_15.3281_ID_65","ISfinder_Feb_2020_ISEc45:NC_004431 ISfinder_Feb_2020_ISEc38:AJ303141"
"88","ESC_BA0967AA_AS","NODE_35_length_7303_cov_76.3595_ID_69","ISfinder_Feb_2020_Tn5403:X75779 plasmidfinder_Col440I_1"
"89","ESC_BA0967AA_AS","NODE_4_length_412067_cov_11.9067_ID_7","card_emrB card_emrA card_emrR EC_custom_malX_AF081286.1:c2588-1008 ISfinder_Feb_2020_MITEEc1:U00096"
"90","ESC_BA0967AA_AS","NODE_42_length_3629_cov_241.468_ID_83","plasmidfinder_Col440II_1"
"91","ESC_BA0967AA_AS","NODE_47_length_2132_cov_17.1676_ID_93","vfdb_papX"
"92","ESC_BA0967AA_AS","NODE_5_length_360166_cov_12.4077_ID_9","card_tolC card_bacA card_acrS card_acrE card_acrF EC_custom_yeeT_|VFG1529 EC_custom_neuC_CP007275.1 EC_custom_kpsMT(II)_K2:CP000468.1:|APEC-O1|3376659-3378102 vfdb_kpsD vfdb_kpsT vfdb_kpsM vfdb_gspM vfdb_gspL vfdb_gspK vfdb_gspJ vfdb_gspI vfdb_gspH vfdb_gspG vfdb_gspF vfdb_gspE vfdb_gspD vfdb_gspC"
"93","ESC_BA0967AA_AS","NODE_55_length_1310_cov_55.142_ID_109","ISfinder_Feb_2020_IS629:X51586"
"94","ESC_BA0967AA_AS","NODE_6_length_295768_cov_11.6392_ID_11","card_mdtM EC_custom_usp_AB056439 ISfinder_Feb_2020_IS200C:NC_004431 ISfinder_Feb_2020_IS1F:X52538"
"95","ESC_BA0967AA_AS","NODE_65_length_822_cov_15.6621_ID_129","ISfinder_Feb_2020_IS26:X00011"
"96","ESC_BA0967AA_AS","NODE_7_length_282077_cov_12.4558_ID_13","EC_custom_VGI-1_tRNA_modification_GTPase_TrmE"
"97","ESC_BA0967AA_AS","NODE_8_length_219951_cov_14.1409_ID_15","EC_custom_yeeT_|VFG1529 EC_custom_fimH_CP015076.1 ISfinder_Feb_2020_ISEc40:NC_004431 ISfinder_Feb_2020_IS1F:X52538 vfdb_fimB vfdb_fimE vfdb_fimA vfdb_fimI vfdb_fimC vfdb_fimD vfdb_fimF vfdb_fimG vfdb_fimH"
"98","ESC_BA0967AA_AS","NODE_9_length_178031_cov_11.8742_ID_17","card_eptA card_mdtN card_mdtO card_mdtP EC_custom_yeeT_|VFG1529"
"99","ESC_BA1000AA_AS","NODE_1_length_653322_cov_14.2829_ID_1","card_acrD card_evgS card_evgA card_emrK card_emrY card_pmrF card_yojI card_baeR card_baeS card_mdtC card_mdtB card_mdtA card_ugd ISfinder_Feb_2020_IS1397:X92970 ISfinder_Feb_2020_IS621:NC_009800"
"100","ESC_BA1000AA_AS","NODE_10_length_180864_cov_16.213_ID_19","card_Escherichia_coli_ampC ISfinder_Feb_2020_ISEc40:NC_004431 ISfinder_Feb_2020_IS1F:X52538"
"101","ESC_BA1000AA_AS","NODE_11_length_178039_cov_13.8297_ID_21","card_mdtP card_mdtO card_mdtN card_eptA EC_custom_yeeT_|VFG1529"
"102","ESC_BA1000AA_AS","NODE_12_length_173804_cov_13.2275_ID_23","card_kdpE vfdb_entD vfdb_fepA vfdb_fes vfdb_entF vfdb_fepC vfdb_fepG vfdb_fepD vfdb_entS vfdb_fepB vfdb_entC vfdb_entE vfdb_entB vfdb_entA"
"103","ESC_BA1000AA_AS","NODE_13_length_171047_cov_13.3157_ID_25","card_Escherichia_coli_acrA card_acrB card_Escherichia_coli_ampH"
"104","ESC_BA1000AA_AS","NODE_14_length_162715_cov_13.981_ID_27","card_emrR card_emrA card_emrB"
"105","ESC_BA1000AA_AS","NODE_16_length_135844_cov_16.2822_ID_31","card_H-NS EC_custom_sitA_(gi:91210366)|VFG012573"
"106","ESC_BA1000AA_AS","NODE_17_length_129198_cov_14.0042_ID_33","card_cpxA"
"107","ESC_BA1000AA_AS","NODE_18_length_121995_cov_17.7884_ID_35","vfdb_fdeC vfdb_ykgK/ecpR vfdb_yagZ/ecpA vfdb_yagY/ecpB vfdb_yagX/ecpC vfdb_yagW/ecpD vfdb_yagV/ecpE vfdb_vat"
"108","ESC_BA1000AA_AS","NODE_19_length_113201_cov_13.4322_ID_37","vfdb_aslA"
"109","ESC_BA1000AA_AS","NODE_2_length_428125_cov_13.7991_ID_3","card_mdtH card_mdtG card_msbA card_Escherichia_coli_mdfA EC_custom_iss_type1_pAPEC-O2-ColV ISfinder_Feb_2020_MITEEc1:U00096 vfdb_ompA"
"110","ESC_BA1000AA_AS","NODE_20_length_84097_cov_7.74381_ID_39","EC_custom_traT_CP018978.1 ISfinder_Feb_2020_IS26:X00011 ISfinder_Feb_2020_IS21:X14793 ISfinder_Feb_2020_ISEc53:HG941718 plasmidfinder_IncFII(29)_1_pUTI89 plasmidfinder_IncFIB(AP001918)_1"
"111","ESC_BA1000AA_AS","NODE_22_length_55623_cov_22.2382_ID_43","EC_custom_fimH_CP015076.1 vfdb_fimB vfdb_fimE vfdb_fimA vfdb_fimI vfdb_fimC vfdb_fimD vfdb_fimF vfdb_fimG vfdb_fimH"
"112","ESC_BA1000AA_AS","NODE_23_length_50896_cov_20.4453_ID_45","ISfinder_Feb_2020_ISEc30:NC_011603"
