"","name","SEQUENCE","same_scaff"
"11","ESC_BA8511AA_AS","NODE_13_length_113201_cov_7.20618_ID_25","vfdb_aslA"
"12","ESC_BA8511AA_AS","NODE_15_length_95940_cov_4.97761_ID_29","EC_custom_Feb_2020_terA_CP019559.1"
"13","ESC_BA8511AA_AS","NODE_17_length_94233_cov_5.21824_ID_33","EC_custom_Feb_2020_sitA_(gi:91210366)|VFG012573 card_H-NS"
"14","ESC_BA8511AA_AS","NODE_19_length_89978_cov_6.40935_ID_37","card_emrB card_emrA card_emrR"
"15","ESC_BA8511AA_AS","NODE_2_length_606377_cov_5.70089_ID_3","ISfinder_Feb_2020_MITEEc1:U00096 card_mdtH card_mdtG card_msbA card_Escherichia_coli_mdfA card_kdpE vfdb_ompA vfdb_entA vfdb_entB vfdb_entE vfdb_entC vfdb_fepB vfdb_entS vfdb_fepD vfdb_fepG vfdb_fepC vfdb_entF vfdb_fes vfdb_fepA vfdb_entD"
"16","ESC_BA8511AA_AS","NODE_20_length_68495_cov_5.41302_ID_39","EC_custom_Feb_2020_irp2_(gi:117624162)|VFG012550 EC_custom_Feb_2020_fyuA_Z35106.1 ISfinder_Feb_2020_ISEc38:AJ303141 vfdb_ybtS vfdb_ybtX vfdb_ybtQ vfdb_ybtP vfdb_ybtA vfdb_irp2 vfdb_irp1 vfdb_ybtU vfdb_ybtT vfdb_ybtE vfdb_fyuA"
"17","ESC_BA8511AA_AS","NODE_22_length_62475_cov_3.191_ID_43","EC_custom_Feb_2020_traT_CP018978.1 ISfinder_Feb_2020_ISEc32:NC_011747 vfdb_iroB vfdb_iroC vfdb_iroD vfdb_iroE vfdb_iroN"
"18","ESC_BA8511AA_AS","NODE_23_length_58323_cov_7.08217_ID_45","EC_custom_Feb_2020_fimH_CP015076.1 vfdb_fimA vfdb_fimI vfdb_fimC vfdb_fimD vfdb_fimF vfdb_fimG vfdb_fimH"
"19","ESC_BA8511AA_AS","NODE_26_length_48986_cov_5.01233_ID_51","plasmidfinder_IncHI2A_1 plasmidfinder_IncHI2_1"
"20","ESC_BA8511AA_AS","NODE_27_length_44651_cov_7.48555_ID_53","ISfinder_Feb_2020_ISEc30:NC_011603"
"21","ESC_BA8511AA_AS","NODE_3_length_405145_cov_5.02918_ID_5","card_marA card_Escherichia_coli_emrE ecoh_fliC-H7"
"22","ESC_BA8511AA_AS","NODE_31_length_35734_cov_7.05546_ID_61","ISfinder_Feb_2020_ISEc23:[] ISfinder_Feb_2020_ISEc45:NC_004431"
"23","ESC_BA8511AA_AS","NODE_36_length_29499_cov_7.04811_ID_71","EC_custom_Feb_2020_yeeT_|VFG1529 vfdb_fimE vfdb_fimB"
"24","ESC_BA8511AA_AS","NODE_38_length_21615_cov_7.1756_ID_75","ISfinder_Feb_2020_IS1203:U06468 ISfinder_Feb_2020_ISEc48:ADUS01000070"
"25","ESC_BA8511AA_AS","NODE_39_length_20510_cov_7.26282_ID_77","EC_custom_Feb_2020_fecA_NC_000913.3 ISfinder_Feb_2020_IS1F:X52538 ISfinder_Feb_2020_ISSd1:M21947 ISfinder_Feb_2020_IS911:X17613"
"26","ESC_BA8511AA_AS","NODE_4_length_359486_cov_7.10776_ID_7","EC_custom_Feb_2020_yeeT_|VFG1529 EC_custom_Feb_2020_neuC_CP007275.1 EC_custom_Feb_2020_kpsMT(II)_K2:CP000468.1:|APEC-O1|3376659-3378102 card_tolC card_bacA card_acrS card_acrE card_acrF vfdb_kpsD vfdb_kpsT vfdb_kpsM vfdb_gspM vfdb_gspL vfdb_gspK vfdb_gspJ vfdb_gspI vfdb_gspH vfdb_gspG vfdb_gspE vfdb_gspD vfdb_gspC"
"27","ESC_BA8511AA_AS","NODE_41_length_19258_cov_4.988_ID_81","card_tet(A)"
"28","ESC_BA8511AA_AS","NODE_43_length_16599_cov_6.96614_ID_85","EC_custom_Feb_2020_tia_CU928161 EC_custom_Feb_2020_papGII_DQ095216.1 EC_custom_Feb_2020_papF_CU928161 EC_custom_Feb_2020_papE_CU928161 EC_custom_Feb_2020_papK_CU928161 EC_custom_Feb_2020_papJ_CU928161 EC_custom_Feb_2020_papD_CU928161 EC_custom_Feb_2020_papC_CU928161 EC_custom_Feb_2020_papH_CU928161 EC_custom_Feb_2020_papA_CU928161 EC_custom_Feb_2020_papB_CU928161 EC_custom_Feb_2020_papI_DQ095216.1 vfdb_papG vfdb_papF vfdb_papE vfdb_papK vfdb_papJ vfdb_papD vfdb_papC vfdb_papH vfdb_papB vfdb_papI"
"29","ESC_BA8511AA_AS","NODE_44_length_14394_cov_7.01524_ID_87","ISfinder_Feb_2020_IS100kyp:U59875 ISfinder_Feb_2020_IS3:X02311"
"30","ESC_BA8511AA_AS","NODE_45_length_12690_cov_3.66876_ID_89","EC_custom_Feb_2020_iutA_KU578032.1 EC_custom_Feb_2020_iucD_AY545598.5 vfdb_iucD vfdb_iucC vfdb_iucB vfdb_iucA"
"31","ESC_BA8511AA_AS","NODE_46_length_11945_cov_3.23524_ID_91","EC_custom_Feb_2020_cvaA_AY545598.5 EC_custom_Feb_2020_cvaB_AY545598.5 EC_custom_Feb_2020_cvaC_X57525.1 EC_custom_Feb_2020_cvi_AY545598.5"
"32","ESC_BA8511AA_AS","NODE_47_length_11074_cov_3.52399_ID_93","EC_custom_Feb_2020_hylF_CP000836.1 EC_custom_Feb_2020_ompT_HM210637.1 ISfinder_Feb_2020_IS629:X51586 plasmidfinder_IncFIB(AP001918)_1"
"33","ESC_BA8511AA_AS","NODE_5_length_273803_cov_6.33921_ID_9","card_Escherichia_coli_ampH card_acrB card_Escherichia_coli_acrA vfdb_vat vfdb_yagV/ecpE vfdb_yagW/ecpD vfdb_yagX/ecpC vfdb_yagY/ecpB vfdb_yagZ/ecpA vfdb_ykgK/ecpR vfdb_fdeC"
"34","ESC_BA8511AA_AS","NODE_54_length_6667_cov_7.28975_ID_107","card_tet(B)"
"35","ESC_BA8511AA_AS","NODE_55_length_6423_cov_3.30597_ID_109","EC_custom_Feb_2020_etsA_KU578032"
"36","ESC_BA8511AA_AS","NODE_56_length_6344_cov_4.91942_ID_111","EC_custom_Feb_2020_merA_CP022086.1"
"37","ESC_BA8511AA_AS","NODE_6_length_273573_cov_6.68982_ID_11","EC_custom_Feb_2020_malX_AF081286.1:c2588-1008 ISfinder_Feb_2020_MITEEc1:U00096"
"38","ESC_BA8511AA_AS","NODE_61_length_5252_cov_4.50165_ID_121","card_dfrA12 card_aadA2 card_sul1"
"39","ESC_BA8511AA_AS","NODE_64_length_4889_cov_6.92604_ID_127","EC_custom_Feb_2020_yeeT_|VFG1529"
"40","ESC_BA8511AA_AS","NODE_7_length_222284_cov_7.64515_ID_13","ISfinder_Feb_2020_IS903B:X02527 card_Escherichia_coli_ampC"
"41","ESC_BA8511AA_AS","NODE_8_length_203929_cov_7.46831_ID_15","EC_custom_Feb_2020_gimB-marker_CP002167.1 card_gadX card_gadW card_mdtF card_mdtE card_CRP vfdb_chuV vfdb_chuU vfdb_chuY vfdb_chuX vfdb_chuW vfdb_chuT vfdb_chuA vfdb_chuS"
"42","ESC_BA8511AA_AS","NODE_80_length_2304_cov_9.52731_ID_159","vfdb_papX"
"43","ESC_BA8511AA_AS","NODE_88_length_1718_cov_9.3984_ID_175","EC_custom_Feb_2020_intI1_HQ730118.1"
"44","ESC_BA8511AA_AS","NODE_9_length_195740_cov_6.73687_ID_17","EC_custom_Feb_2020_usp_AB056439 ISfinder_Feb_2020_IS200C:NC_004431"
"45","ESC_BA8511AA_AS","NODE_94_length_1299_cov_10.0388_ID_187","ISfinder_Feb_2020_IS150:X07037"
"46","ESC_BA8511AA_AS","NODE_95_length_1282_cov_53.2372_ID_189","ISfinder_Feb_2020_IS10R:J01829"
"47","ESC_BA8511AA_AS","NODE_97_length_1218_cov_4.45704_ID_193","card_APH(3')-Ia"
"48","ESC_GA5350AA_AS","NODE_1_length_175049_cov_9.74021_ID_1","card_mdtP card_mdtO card_mdtN card_eptA"
"49","ESC_GA5350AA_AS","NODE_100_length_10791_cov_9.04173_ID_199","ISfinder_Feb_2020_ISEc30:NC_011603"
"50","ESC_GA5350AA_AS","NODE_103_length_10604_cov_8.97957_ID_205","vfdb_ykgK/ecpR vfdb_yagZ/ecpA vfdb_yagY/ecpB vfdb_yagX/ecpC vfdb_yagW/ecpD vfdb_yagV/ecpE"
"51","ESC_GA5350AA_AS","NODE_106_length_10468_cov_8.267_ID_211","EC_custom_Feb_2020_malX_AF081286.1:c2588-1008"
"52","ESC_GA5350AA_AS","NODE_107_length_10116_cov_9.12914_ID_213","card_acrF card_acrE"
"53","ESC_GA5350AA_AS","NODE_108_length_10097_cov_9.41153_ID_215","vfdb_vat"
"54","ESC_GA5350AA_AS","NODE_112_length_9184_cov_9.71205_ID_223","EC_custom_Feb_2020_yeeT_|VFG1529"
"55","ESC_GA5350AA_AS","NODE_114_length_8832_cov_8.62447_ID_227","EC_custom_Feb_2020_iucD_AY545598.5 EC_custom_Feb_2020_iutA_KU578032.1 vfdb_iucA vfdb_iucB vfdb_iucC vfdb_iucD"
"56","ESC_GA5350AA_AS","NODE_116_length_8513_cov_10.6111_ID_231","vfdb_kpsD"
"57","ESC_GA5350AA_AS","NODE_118_length_8265_cov_9.6423_ID_235","card_acrS"
"58","ESC_GA5350AA_AS","NODE_12_length_92770_cov_9.65456_ID_23","card_Escherichia_coli_ampH"
"59","ESC_GA5350AA_AS","NODE_120_length_7932_cov_10.009_ID_239","ISfinder_Feb_2020_ISEc23:[] ISfinder_Feb_2020_ISEc45:NC_004431"
"60","ESC_GA5350AA_AS","NODE_121_length_7630_cov_10.0489_ID_241","EC_custom_Feb_2020_yeeT_|VFG1529"
"61","ESC_GA5350AA_AS","NODE_13_length_90141_cov_9.09621_ID_25","card_mdtA card_mdtB card_mdtC card_baeS card_baeR ecoh_wzx-O1"
"62","ESC_GA5350AA_AS","NODE_130_length_6374_cov_8.64367_ID_259","ISfinder_Feb_2020_IS150:X07037"
"63","ESC_GA5350AA_AS","NODE_131_length_6256_cov_7.20101_ID_261","EC_custom_Feb_2020_merA_CP022086.1"
"64","ESC_GA5350AA_AS","NODE_132_length_6095_cov_11.0159_ID_263","EC_custom_Feb_2020_papI_DQ095216.1 ISfinder_Feb_2020_ISEc48:ADUS01000070 vfdb_papI"
"65","ESC_GA5350AA_AS","NODE_139_length_5489_cov_301.682_ID_277","plasmidfinder_Col156_1"
"66","ESC_GA5350AA_AS","NODE_14_length_82481_cov_9.32018_ID_27","ISfinder_Feb_2020_MITEEc1:U00096"
"67","ESC_GA5350AA_AS","NODE_140_length_5476_cov_263.069_ID_279","plasmidfinder_Col156_1"
"68","ESC_GA5350AA_AS","NODE_146_length_5103_cov_10.4542_ID_291","EC_custom_Feb_2020_yeeT_|VFG1529"
"69","ESC_GA5350AA_AS","NODE_150_length_4837_cov_10.9136_ID_299","plasmidfinder_IncFIB(AP001918)_1"
"70","ESC_GA5350AA_AS","NODE_152_length_4652_cov_8.82829_ID_303","ISfinder_Feb_2020_IS100kyp:U59875"
"71","ESC_GA5350AA_AS","NODE_153_length_4640_cov_6.6273_ID_305","card_APH(6)-Id card_APH(3'')-Ib card_sul2"
"72","ESC_GA5350AA_AS","NODE_159_length_4420_cov_9.73352_ID_317","EC_custom_Feb_2020_yeeT_|VFG1529"
"73","ESC_GA5350AA_AS","NODE_16_length_79484_cov_9.66431_ID_31","card_evgS card_evgA card_emrK card_emrY"
"74","ESC_GA5350AA_AS","NODE_160_length_4245_cov_12.5311_ID_319","EC_custom_Feb_2020_sitA_(gi:91210366)|VFG012573"
"75","ESC_GA5350AA_AS","NODE_163_length_3858_cov_7.05575_ID_325","card_tet(B)"
"76","ESC_GA5350AA_AS","NODE_169_length_3341_cov_7.77256_ID_337","card_TEM-1"
"77","ESC_GA5350AA_AS","NODE_17_length_79018_cov_8.92696_ID_33","card_H-NS"
"78","ESC_GA5350AA_AS","NODE_179_length_2380_cov_11.7328_ID_357","vfdb_papX"
"79","ESC_GA5350AA_AS","NODE_19_length_72662_cov_9.42749_ID_37","vfdb_kpsM vfdb_gspM vfdb_gspL vfdb_gspK vfdb_gspJ vfdb_gspI vfdb_gspH vfdb_gspG vfdb_gspF vfdb_gspE vfdb_gspD vfdb_gspC"
"80","ESC_GA5350AA_AS","NODE_192_length_1679_cov_574.126_ID_383","plasmidfinder_Col(MG828)_1"
"81","ESC_GA5350AA_AS","NODE_2_length_162880_cov_9.37406_ID_3","ISfinder_Feb_2020_MITEEc1:U00096 card_Escherichia_coli_mdfA"
"82","ESC_GA5350AA_AS","NODE_205_length_1339_cov_19.7153_ID_409","ISfinder_Feb_2020_IS4321R:U67194"
"83","ESC_GA5350AA_AS","NODE_209_length_1293_cov_6.27787_ID_417","card_APH(3')-Ia"
"84","ESC_GA5350AA_AS","NODE_210_length_1282_cov_116.139_ID_419","ISfinder_Feb_2020_IS10R:J01829"
"85","ESC_GA5350AA_AS","NODE_216_length_1169_cov_18.8877_ID_431","ISfinder_Feb_2020_ISSd1:M21947"
"86","ESC_GA5350AA_AS","NODE_218_length_1134_cov_22.2383_ID_435","EC_custom_Feb_2020_yeeT_|VFG1529"
"87","ESC_GA5350AA_AS","NODE_22_length_65537_cov_9.73354_ID_43","card_mdtG card_mdtH"
"88","ESC_GA5350AA_AS","NODE_221_length_1059_cov_4.18133_ID_441","vfdb_fimE"
"89","ESC_GA5350AA_AS","NODE_222_length_1029_cov_8.83592_ID_443","vfdb_fimB"
"90","ESC_GA5350AA_AS","NODE_23_length_59666_cov_9.85309_ID_45","vfdb_aslA"
"91","ESC_GA5350AA_AS","NODE_231_length_820_cov_35.5945_ID_461","ISfinder_Feb_2020_IS26:X00011"
"92","ESC_GA5350AA_AS","NODE_26_length_57174_cov_9.8452_ID_51","card_Escherichia_coli_ampC"
"93","ESC_GA5350AA_AS","NODE_27_length_56972_cov_9.58438_ID_53","card_acrB card_Escherichia_coli_acrA"
"94","ESC_GA5350AA_AS","NODE_28_length_56198_cov_9.41471_ID_55","card_kdpE"
"95","ESC_GA5350AA_AS","NODE_29_length_56029_cov_9.45621_ID_57","card_acrD"
"96","ESC_GA5350AA_AS","NODE_3_length_140000_cov_9.29179_ID_5","card_emrR card_emrA card_emrB"
"97","ESC_GA5350AA_AS","NODE_30_length_52899_cov_9.40899_ID_59","EC_custom_Feb_2020_usp_AB056439"
"98","ESC_GA5350AA_AS","NODE_35_length_48897_cov_10.0769_ID_69","card_cpxA"
"99","ESC_GA5350AA_AS","NODE_36_length_48319_cov_8.82817_ID_71","card_Escherichia_coli_emrE ecoh_fliC-H7"
"100","ESC_GA5350AA_AS","NODE_4_length_135632_cov_9.35853_ID_7","card_yojI"
"101","ESC_GA5350AA_AS","NODE_45_length_39874_cov_9.40008_ID_89","card_pmrF"
"102","ESC_GA5350AA_AS","NODE_47_length_39490_cov_8.65447_ID_93","EC_custom_Feb_2020_fyuA_Z35106.1 EC_custom_Feb_2020_irp2_(gi:117624162)|VFG012550 vfdb_fyuA vfdb_ybtE vfdb_ybtT vfdb_ybtU vfdb_irp1 vfdb_irp2 vfdb_ybtA vfdb_ybtP vfdb_ybtQ vfdb_ybtX vfdb_ybtS"
"103","ESC_GA5350AA_AS","NODE_5_length_132585_cov_9.26606_ID_9","card_marA"
"104","ESC_GA5350AA_AS","NODE_56_length_31236_cov_9.22845_ID_111","card_bacA"
"105","ESC_GA5350AA_AS","NODE_60_length_28717_cov_9.67314_ID_119","ISfinder_Feb_2020_IS1397:X92970 ISfinder_Feb_2020_IS621:NC_009800"
"106","ESC_GA5350AA_AS","NODE_62_length_27628_cov_9.415_ID_123","EC_custom_Feb_2020_yeeT_|VFG1529"
"107","ESC_GA5350AA_AS","NODE_68_length_23058_cov_8.98513_ID_135","vfdb_fdeC"
"108","ESC_GA5350AA_AS","NODE_69_length_22987_cov_9.63206_ID_137","ISfinder_Feb_2020_IS3:X02311"
"109","ESC_GA5350AA_AS","NODE_7_length_122614_cov_9.41282_ID_13","vfdb_entD vfdb_fepA vfdb_fes vfdb_entF vfdb_fepC vfdb_fepG vfdb_fepD vfdb_entS vfdb_fepB vfdb_entC vfdb_entE vfdb_entB vfdb_entA"
"110","ESC_GA5350AA_AS","NODE_74_length_21547_cov_9.26928_ID_147","card_mdtE card_mdtF card_gadW card_gadX vfdb_chuS vfdb_chuA vfdb_chuT vfdb_chuW vfdb_chuX vfdb_chuY vfdb_chuU vfdb_chuV"
"111","ESC_GA5350AA_AS","NODE_76_length_18759_cov_8.48122_ID_151","ISfinder_Feb_2020_ISEc32:NC_011747"
"112","ESC_GA5350AA_AS","NODE_78_length_17126_cov_9.45309_ID_155","ISfinder_Feb_2020_IS1203:U06468"
"113","ESC_GA5350AA_AS","NODE_79_length_16998_cov_9.92194_ID_157","card_tolC"
"114","ESC_GA5350AA_AS","NODE_8_length_120014_cov_9.59349_ID_15","card_msbA vfdb_ompA"
"115","ESC_GA5350AA_AS","NODE_80_length_16638_cov_9.32645_ID_159","EC_custom_Feb_2020_tia_CU928161 EC_custom_Feb_2020_papGII_DQ095216.1 EC_custom_Feb_2020_papF_CU928161 EC_custom_Feb_2020_papE_CU928161 EC_custom_Feb_2020_papK_CU928161 EC_custom_Feb_2020_papJ_CU928161 EC_custom_Feb_2020_papD_CU928161 EC_custom_Feb_2020_papC_CU928161 EC_custom_Feb_2020_papH_CU928161 EC_custom_Feb_2020_papA_CU928161 EC_custom_Feb_2020_papB_CU928161 vfdb_papG vfdb_papF vfdb_papE vfdb_papK vfdb_papJ vfdb_papD vfdb_papC vfdb_papH vfdb_papB"
"116","ESC_GA5350AA_AS","NODE_82_length_16277_cov_9.65709_ID_163","EC_custom_Feb_2020_fecA_NC_000913.3 ISfinder_Feb_2020_IS1F:X52538"
"117","ESC_GA5350AA_AS","NODE_84_length_14948_cov_8.26145_ID_167","EC_custom_Feb_2020_traT_CP018978.1 plasmidfinder_IncFII_1"
"118","ESC_GA5350AA_AS","NODE_87_length_14221_cov_9.76479_ID_173","card_ugd"
"119","ESC_GA5350AA_AS","NODE_88_length_14112_cov_7.54201_ID_175","EC_custom_Feb_2020_hylF_CP000836.1 EC_custom_Feb_2020_ompT_HM210637.1 EC_custom_Feb_2020_etsA_KU578032 ISfinder_Feb_2020_IS629:X51586"
"120","ESC_GA5350AA_AS","NODE_89_length_14043_cov_7.95839_ID_177","vfdb_iroN vfdb_iroE vfdb_iroD vfdb_iroC vfdb_iroB"
"121","ESC_GA5350AA_AS","NODE_9_length_115002_cov_9.55724_ID_17","card_CRP"
"122","ESC_GA5350AA_AS","NODE_91_length_13647_cov_10.0949_ID_181","EC_custom_Feb_2020_fimH_CP015076.1 vfdb_fimA vfdb_fimI vfdb_fimC vfdb_fimD vfdb_fimF vfdb_fimG vfdb_fimH"
"123","ESC_GA5350AA_AS","NODE_94_length_12382_cov_7.85027_ID_187","EC_custom_Feb_2020_intI1_HQ730118.1 card_sul1 card_dfrA5"
"124","ESC_GA5350AA_AS","NODE_97_length_11771_cov_6.92331_ID_193","EC_custom_Feb_2020_cvaA_AY545598.5 EC_custom_Feb_2020_cvaB_AY545598.5 EC_custom_Feb_2020_cvaC_X57525.1 EC_custom_Feb_2020_cvi_AY545598.5"
"125","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_1_length_633050_cov_5.292102","ISfinder_Feb_2020_MITEEc1:U00096 card_kdpE card_Escherichia_coli_mdfA card_msbA card_mdtG card_mdtH vfdb_entD vfdb_fepA vfdb_fes vfdb_entF vfdb_fepC vfdb_fepG vfdb_fepD vfdb_entS vfdb_fepB vfdb_entC vfdb_entE vfdb_entB vfdb_entA vfdb_ompA"
"126","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_10_length_223414_cov_5.397276","card_yojI card_pmrF"
"127","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_101_length_608_cov_7.587525","EC_custom_Feb_2020_yeeT_|VFG1529"
"128","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_11_length_167823_cov_5.148016","card_acrB card_Escherichia_coli_acrA"
"129","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_12_length_135877_cov_5.519372","EC_custom_Feb_2020_yeeT_|VFG1529 card_eptA card_mdtN card_mdtO card_mdtP"
"130","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_13_length_132089_cov_5.270083","card_acrD card_evgS card_evgA card_emrK card_emrY"
"131","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_14_length_129299_cov_5.372349","card_cpxA"
"132","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_15_length_120735_cov_5.525244","ISfinder_Feb_2020_MITEEc1:U00096"
"133","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_16_length_114944_cov_5.326875","ISfinder_Feb_2020_IS621:NC_009800 ISfinder_Feb_2020_IS1397:X92970"
"134","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_17_length_113141_cov_5.307325","vfdb_aslA"
"135","ESC_GB6943AA_AS","ESC_GB6943AA_AS_NODE_18_length_97566_cov_8.294690","plasmidfinder_p0111_1"
